Company,Flight,From,To,Status,Scheduled_Departure_Hour_CST,Real_Departure_Hour_CST,Flight_Departure_Times
Copa Airlines,CM 6948,Mexico City,Ciudad Del Carmen,Arrived,06:10,06:14,19-Jan-2021
,,,,,,,
KLM,KL 8906,Mexico City,Ciudad Del Carmen,Arrived,06:10,06:14,19-Jan-2021
,,,,,,,
Volaris,Y4 608,Mexico City,La Paz,Arrived,06:10,05:57,19-Jan-2021
,,,,,,,
Aeromexico,AM 850,Mexico City,Veracruz,Arrived,06:10,09:56,19-Jan-2021
,,,,,,,
Delta Air Lines,DL 7996,Mexico City,Villahermosa,Arrived,06:10,06:09,19-Jan-2021
,,,,,,,
Air Europa,UX 2473,Mexico City,Veracruz,Arrived,06:10,09:56,19-Jan-2021
,,,,,,,
Aeromexico,AM 800,Mexico City,Villahermosa,Arrived,06:10,06:09,19-Jan-2021
,,,,,,,
SA AVIANCA,AV 6492,Mexico City,Villahermosa,Arrived,06:10,06:09,19-Jan-2021
,,,,,,,
VivaAerobus,VB 1268,Mexico City,Torreon,Unknown,06:10,Unknown,19-Jan-2021
,,,,,,,
Copa Airlines,CM 6211,Mexico City,Torreon,Arrived,06:15,06:13,19-Jan-2021
,,,,,,,
KLM,KL 9040,Mexico City,Torreon,Arrived,06:15,06:13,19-Jan-2021
,,,,,,,
Aeromexico,AM 2410,Mexico City,Tampico,Arrived,06:15,06:12,19-Jan-2021
,,,,,,,
Copa Airlines,CM 6200,Mexico City,Tampico,Arrived,06:15,06:12,19-Jan-2021
,,,,,,,
Delta Air Lines,DL 8152,Mexico City,Tampico,Arrived,06:15,06:12,19-Jan-2021
,,,,,,,
KLM,KL 8986,Mexico City,Tampico,Arrived,06:15,06:12,19-Jan-2021
,,,,,,,
Aeromexico,AM 100,Mexico City,Torreon,Arrived,06:15,06:13,19-Jan-2021
,,,,,,,
VivaAerobus,VB 1464,Mexico City,Campeche,Arrived,06:15,06:07,19-Jan-2021
,,,,,,,
Aeromexico,AM 820,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
SA AVIANCA,AV 6442,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
Copa Airlines,CM 6178,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
Delta Air Lines,DL 8045,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
KLM,KL 9024,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
WestJet,WS 6233,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
Aeromar,VW 465,Mexico City,Colima,Arrived,06:20,06:20,19-Jan-2021
,,,,,,,
Aeromexico,AM 1312,Mexico City,Tuxtla Gutierrez,Arrived,06:20,06:20,19-Jan-2021
,,,,,,,
KLM,KL 8912,Mexico City,Tuxtla Gutierrez,Arrived,06:20,06:20,19-Jan-2021
,,,,,,,
Aeromexico,AM 702,Mexico City,Hermosillo,Arrived,06:20,06:18,19-Jan-2021
,,,,,,,
SA AVIANCA,AV 2664,Mexico City,Hermosillo,Arrived,06:20,06:18,19-Jan-2021
,,,,,,,
Copa Airlines,CM 6174,Mexico City,Hermosillo,Arrived,06:20,06:18,19-Jan-2021
,,,,,,,
Delta Air Lines,DL 7996,Mexico City,Villahermosa,Arrived,06:10,06:09,19-Jan-2021
,,,,,,,
Air Europa,UX 2473,Mexico City,Veracruz,Arrived,06:10,09:56,19-Jan-2021
,,,,,,,
Aeromexico,AM 800,Mexico City,Villahermosa,Arrived,06:10,06:09,19-Jan-2021
,,,,,,,
SA AVIANCA,AV 6492,Mexico City,Villahermosa,Arrived,06:10,06:09,19-Jan-2021
,,,,,,,
VivaAerobus,VB 1268,Mexico City,Torreon,Unknown,06:10,Unknown,19-Jan-2021
,,,,,,,
Copa Airlines,CM 6211,Mexico City,Torreon,Arrived,06:15,06:13,19-Jan-2021
,,,,,,,
KLM,KL 9040,Mexico City,Torreon,Arrived,06:15,06:13,19-Jan-2021
,,,,,,,
Aeromexico,AM 2410,Mexico City,Tampico,Arrived,06:15,06:12,19-Jan-2021
,,,,,,,
Copa Airlines,CM 6200,Mexico City,Tampico,Arrived,06:15,06:12,19-Jan-2021
,,,,,,,
Delta Air Lines,DL 8152,Mexico City,Tampico,Arrived,06:15,06:12,19-Jan-2021
,,,,,,,
KLM,KL 8986,Mexico City,Tampico,Arrived,06:15,06:12,19-Jan-2021
,,,,,,,
Aeromexico,AM 100,Mexico City,Torreon,Arrived,06:15,06:13,19-Jan-2021
,,,,,,,
VivaAerobus,VB 1464,Mexico City,Campeche,Arrived,06:15,06:07,19-Jan-2021
,,,,,,,
Aeromexico,AM 820,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
SA AVIANCA,AV 6442,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
Copa Airlines,CM 6178,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
Delta Air Lines,DL 8045,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
KLM,KL 9024,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
WestJet,WS 6233,Mexico City,Merida,Arrived,06:20,06:17,19-Jan-2021
,,,,,,,
Aeromar,VW 465,Mexico City,Colima,Arrived,06:20,06:20,19-Jan-2021
